sample_id,cluster_label,cluster_id,cluster
A02_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A04_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A05_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A05_BCH3_1NeuNP_H200.1030_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A07_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A08_BCH3_1NeuNP_H200.1030_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A14_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A16_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A18_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A19_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A20_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A20_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A21_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A21_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
A23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B02_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B03_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B05_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B06_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B07_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B08_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B09_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B09_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
B11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C13_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C14_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C15_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C16_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C18_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C18_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C21_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
C23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D03_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D03_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D05_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D06_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D09_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
D11_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E04_BCH3_1NeuNP_H200.1030_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E05_BCH3_1NeuNP_H200.1030_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E13_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E13_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E15_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E16_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E18_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E19_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E19_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E20_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E22_BCH1_1NeuNP_H200.1030_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E22_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E23_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
E24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F01_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F01_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F03_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F03_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F04_BCH1_1NeuNP_H200.1025_MTG_layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F09_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F11_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
F12_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G13_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G14_BCH3_1NeuNP_H200.1025_MTG_Layer_1,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
G15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7,e1_e299_SLC17A7_L5b.Cdh13,12,12. e1_e299_SLC17A7_L5b.Cdh13
